onda,quando,celula,clat,clon,area_nuc,tbmin,nflash,eletrificada,dir,frac_sol
O1_toros_01-04mai,2024-05-01 1100UT,C1,-28.27,-54.274,4572,-78.6,228,1,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C2,-29.403,-49.43,6736,-70.3,5,1,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C3,-29.279,-51.126,117,-70.4,16,1,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C4,-30.672,-52.794,9805,-76.6,64,1,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C5,-29.738,-54.618,255,-71.3,54,1,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C6,-30.03,-53.975,30,-61.2,52,1,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C7,-30.318,-48.113,39,-55.6,0,0,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C8,-30.534,-48.315,75,-59.9,0,0,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C9,-33.39,-45.454,119,-57.1,0,0,,0.39
O1_toros_01-04mai,2024-05-01 1100UT,C10,-33.781,-44.249,175,-60.3,0,0,,0.39
O1_toros_01-04mai,2024-05-01 1200UT,C1,-28.523,-53.456,7491,-78.6,305,1,"-0.25,+0.82",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C2,-28.735,-48.681,109,-57.0,0,0,"+0.67,+0.75",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C3,-29.295,-50.79,1363,-70.3,3,0,"-0.02,+0.34",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C7,-29.066,-48.006,25,-56.5,0,0,"+1.25,+0.11",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C8,-29.913,-48.362,3730,-62.3,0,0,"+0.62,-0.05",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C4,-30.506,-51.955,8238,-75.4,1,0,"+0.17,+0.84",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C5,-29.969,-55.323,26,-61.2,9,1,"-0.23,-0.71",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C6,-30.01,-54.607,56,-60.7,23,1,"+0.02,-0.63",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C11,-31.042,-48.73,176,-59.5,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1200UT,C12,-31.149,-46.992,144,-57.7,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1200UT,C13,-31.438,-53.292,79,-58.2,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1200UT,C14,-32.078,-52.514,170,-59.5,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1200UT,C15,-32.197,-51.559,68,-58.2,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1200UT,C10,-33.654,-44.615,50,-58.2,0,0,"+0.13,-0.37",1.0
O1_toros_01-04mai,2024-05-01 1200UT,C16,-33.714,-43.795,179,-60.5,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1300UT,C4,-29.351,-52.057,19326,-82.5,64,1,"+1.15,-0.10",1.0
O1_toros_01-04mai,2024-05-01 1300UT,C1,-28.599,-54.874,198,-66.8,117,1,"-0.08,-1.42",1.0
O1_toros_01-04mai,2024-05-01 1300UT,C6,-29.427,-53.883,48,-69.5,49,1,"+0.58,+0.72",1.0
O1_toros_01-04mai,2024-05-01 1300UT,C11,-30.771,-48.038,563,-61.1,0,0,"+0.27,+0.69",1.0
O1_toros_01-04mai,2024-05-01 1300UT,C5,-30.381,-54.248,246,-68.1,8,1,"-0.41,+1.08",1.0
O1_toros_01-04mai,2024-05-01 1300UT,C13,-30.389,-53.764,37,-64.8,1,0,"+1.05,-0.47",1.0
O1_toros_01-04mai,2024-05-01 1300UT,C17,-30.581,-49.814,25,-56.7,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1300UT,C18,-31.035,-49.988,219,-57.0,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1300UT,C16,-33.593,-43.607,137,-60.5,0,0,"+0.12,+0.19",1.0
O1_toros_01-04mai,2024-05-01 1400UT,C4,-29.531,-51.583,22992,-80.1,14,1,"-0.18,+0.47",1.0
O1_toros_01-04mai,2024-05-01 1400UT,C1,-29.259,-54.745,28,-64.9,89,1,"-0.66,+0.13",1.0
O1_toros_01-04mai,2024-05-01 1400UT,C6,-29.338,-55.333,33,-69.9,81,1,"+0.09,-1.45",1.0
O1_toros_01-04mai,2024-05-01 1400UT,C11,-31.171,-46.916,176,-58.7,0,0,"-0.40,+1.12",1.0
O1_toros_01-04mai,2024-05-01 1400UT,C19,-31.563,-52.081,135,-59.0,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1400UT,C16,-32.478,-44.557,82,-57.3,0,0,"+1.12,-0.95",1.0
O1_toros_01-04mai,2024-05-01 1400UT,C20,-32.564,-44.114,82,-57.2,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1500UT,C4,-29.626,-51.018,27078,-77.9,1,0,"-0.09,+0.57",1.0
O1_toros_01-04mai,2024-05-01 1500UT,C1,-28.458,-54.068,108,-73.2,136,1,"+0.80,+0.68",1.0
O1_toros_01-04mai,2024-05-01 1500UT,C6,-29.209,-54.971,64,-71.7,280,1,"+0.13,+0.36",1.0
O1_toros_01-04mai,2024-05-01 1500UT,C21,-29.809,-54.455,624,-74.1,176,1,,1.0
O1_toros_01-04mai,2024-05-01 1500UT,C11,-30.025,-47.544,28,-55.8,0,0,"+1.15,-0.63",1.0
O1_toros_01-04mai,2024-05-01 1500UT,C22,-30.472,-47.743,39,-56.0,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1500UT,C19,-30.775,-52.423,365,-64.9,0,0,"+0.79,-0.34",1.0
O1_toros_01-04mai,2024-05-01 1600UT,C4,-29.654,-50.9,26623,-83.0,2,0,"-0.03,+0.12",1.0
O1_toros_01-04mai,2024-05-01 1600UT,C1,-28.619,-53.756,56,-67.3,232,1,"-0.16,+0.31",1.0
O1_toros_01-04mai,2024-05-01 1600UT,C23,-29.644,-56.693,404,-75.7,325,1,,1.0
O1_toros_01-04mai,2024-05-01 1600UT,C24,-30.147,-58.223,43,-69.9,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1600UT,C25,-30.643,-50.639,603,-63.0,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1600UT,C19,-31.225,-51.341,39,-57.5,0,0,"-0.45,+1.08",1.0
O1_toros_01-04mai,2024-05-01 1700UT,C26,-27.824,-51.935,64,-68.4,48,1,,1.0
O1_toros_01-04mai,2024-05-01 1700UT,C4,-29.542,-51.562,19861,-80.6,0,0,"+0.11,-0.66",1.0
O1_toros_01-04mai,2024-05-01 1700UT,C1,-28.685,-53.664,48,-67.8,88,1,"-0.07,+0.09",1.0
O1_toros_01-04mai,2024-05-01 1700UT,C27,-29.292,-49.377,39,-58.3,17,1,,1.0
O1_toros_01-04mai,2024-05-01 1700UT,C28,-29.969,-48.528,1572,-63.8,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1700UT,C29,-29.473,-49.223,38,-58.5,15,1,,1.0
O1_toros_01-04mai,2024-05-01 1700UT,C23,-30.005,-55.895,2496,-80.4,0,0,"-0.36,+0.80",1.0
O1_toros_01-04mai,2024-05-01 1700UT,C24,-30.164,-58.896,183,-61.4,0,0,"-0.02,-0.67",1.0
O1_toros_01-04mai,2024-05-01 1700UT,C30,-30.558,-57.132,1057,-71.7,4,0,,1.0
O1_toros_01-04mai,2024-05-01 1700UT,C31,-30.841,-48.229,93,-58.4,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1700UT,C25,-31.192,-49.315,33,-56.6,0,0,"-0.55,+1.32",1.0
O1_toros_01-04mai,2024-05-01 1700UT,C32,-31.38,-48.519,41,-56.2,0,0,,1.0
O1_toros_01-04mai,2024-05-01 1800UT,C33,-26.629,-54.025,52,-63.5,14,1,,1.0
O1_toros_01-04mai,2024-05-01 1800UT,C26,-27.68,-50.923,31,-59.8,9,1,"+0.14,+1.01",1.0
O1_toros_01-04mai,2024-05-01 1800UT,C4,-28.997,-50.783,12795,-81.5,15,1,"+0.55,+0.78",1.0
O1_toros_01-04mai,2024-05-01 1800UT,C34,-27.973,-56.994,60,-65.3,108,1,,1.0
O1_toros_01-04mai,2024-05-01 1800UT,C23,-29.484,-56.738,489,-70.8,123,1,"+0.52,-0.84",1.0
O1_toros_01-04mai,2024-05-01 1800UT,C35,-30.726,-53.627,15489,-84.0,13,1,,1.0
O1_toros_01-04mai,2024-05-01 1800UT,C25,-30.663,-49.77,95,-58.3,0,0,"+0.53,-0.45",1.0
O1_toros_01-04mai,2024-05-01 1800UT,C24,-30.454,-58.066,230,-61.2,25,1,"-0.29,+0.83",1.0
O1_toros_01-04mai,2024-05-01 1900UT,C33,-26.822,-53.174,62,-61.1,0,0,"-0.19,+0.85",1.0
O1_toros_01-04mai,2024-05-01 1900UT,C26,-27.808,-50.201,366,-65.4,31,1,"-0.13,+0.72",1.0
O1_toros_01-04mai,2024-05-01 1900UT,C4,-27.887,-49.81,97,-73.1,60,1,"+1.11,+0.97",1.0
O1_toros_01-04mai,2024-05-01 1900UT,C34,-27.675,-56.91,50,-58.8,76,1,"+0.30,+0.08",1.0
O1_toros_01-04mai,2024-05-01 1900UT,C36,-29.197,-50.295,14553,-76.5,10,1,,1.0
O1_toros_01-04mai,2024-05-01 1900UT,C37,-28.205,-52.13,477,-77.9,155,1,,1.0
O1_toros_01-04mai,2024-05-01 1900UT,C38,-28.221,-53.088,287,-77.6,222,1,,1.0
O1_toros_01-04mai,2024-05-01 1900UT,C23,-28.329,-56.025,25,-58.3,76,1,"+1.15,+0.71",1.0
O1_toros_01-04mai,2024-05-01 1900UT,C39,-28.48,-55.644,81,-59.9,45,1,,1.0
O1_toros_01-04mai,2024-05-01 1900UT,C40,-28.546,-56.157,96,-64.1,79,1,,1.0
